Date,Price,Open,High,Low,Vol.,Change %
"Oct 05, 2020",2358,2330.55,2364.73,2327.83,763.62M,1.29%
"Sep 29, 2020",2327.89,2331.51,2339.83,2320.04,646.22M,0.86%
"Sep 28, 2020",2308.08,2301.16,2314.81,2291.32,605.98M,1.29%
"Sep 25, 2020",2278.79,2295.19,2296.36,2267.63,697.96M,0.27%
"Sep 24, 2020",2272.7,2295.62,2309.74,2268.88,714.88M,-2.59%
"Sep 23, 2020",2333.24,2352.56,2354.46,2287.44,735.04M,0.03%
"Sep 22, 2020",2332.59,2388.14,2388.49,2323.58,1.05B,-2.38%
"Sep 21, 2020",2389.39,2412.44,2427.17,2379.38,1.04B,-0.95%
"Sep 18, 2020",2412.4,2413.53,2417.81,2396.33,756.52M,0.26%
"Sep 17, 2020",2406.17,2430.77,2437.02,2398.69,853.74M,-1.22%
"Sep 16, 2020",2435.92,2442.72,2450.53,2429.94,772.94M,-0.31%
"Sep 15, 2020",2443.58,2434.59,2444.57,2423.79,849.97M,0.65%
"Sep 14, 2020",2427.91,2418.33,2429.07,2410.79,963.08M,1.30%
"Sep 11, 2020",2396.69,2389.76,2397.56,2374,882.88M,0.01%
"Sep 10, 2020",2396.48,2404.83,2406.68,2388.56,1.06B,0.87%
"Sep 09, 2020",2375.81,2372.53,2388.85,2369.12,946.25M,-1.09%
"Sep 08, 2020",2401.91,2402.66,2407.56,2391.43,979.36M,0.74%
"Sep 07, 2020",2384.22,2369.85,2387.49,2362.42,1.20B,0.67%
"Sep 04, 2020",2368.25,2332.68,2371.02,2332.68,1.35B,-1.15%
"Sep 03, 2020",2395.9,2383.26,2401.78,2382.23,981.55M,1.33%
"Sep 02, 2020",2364.37,2363.43,2369.57,2341.29,1.43B,0.63%
"Sep 01, 2020",2349.55,2340.19,2355.9,2331.23,1.09B,1.01%
"Aug 31, 2020",2326.17,2377.09,2381.5,2326.06,1.65B,-1.17%
"Aug 28, 2020",2353.8,2362.22,2379.26,2345.28,1.30B,0.40%
"Aug 27, 2020",2344.45,2371.95,2373.36,2344.38,913.92M,-1.05%
